63cff02ee037183a8c260ea8,5d5a48a67ca41f0001e97f8b,5909955b9e26f200016e1247,60f22ce19d3c98dacd6d464f,5e63e793e50a6316a75213c4,63fcb3abff7248e2177ddb48,5e0b8d156aab7c39d83797d3,55c233f8fdf99b3d97521979,605d7729ce17bf97fbf2d781,5e74e1df5ae15103a51a1ee8,60fcdfac81bec43078236e55,60dd073dffbfd7e857ea836b,60fdc5c27df92fe62a07a0c3,5e7995061a79d455837f95e1,58a2952076c5b7000166150a,5d8a797185a7f1001a27c3cf,DPR,LLAMA,GPT4,Claim,Answer,GPT3,RAG,MISTRAL,LLAMA3,LLAMA2_70B,LLAMA3_70B,CHATGPT
,,,,,,,,,,,,,,1.0,,0,1,1,There are many types fungi fit for human consumption.,SUPPORTS,1,1,0.0,1,1,1,1
,,,,,,,,,,,,,,1.0,,0,1,1,Sir Arthur Seymour Sullivan was a British composer who wrote hymns to learn about music was more successful in New York than in London.,REFUTES,1,1,1.0,1,0,1,0
,,,,,,,,,,,,,,1.0,,0,0,0,Ty Cobb did not like people who were colored differently than him.,REFUTES,0,0,0.0,1,0,0,0
,,,,,,,,,,,,,,1.0,1.0,0,1,0,The only spin off is featured around Sheldon\'s childhood.,SUPPORTS,0,1,0.0,0,1,1,1
,,,,,,,,,,,,,,1.0,1.0,0,0,0,Clara Schumann kept a secret journal.,REFUTES,1,0,1.0,0,0,0,0
,,,,,,,,,,,,,,,0.0,0,1,1,"Francis Poulenc, a French composer and pianist, publicly disregarded the gramophone as gimmicky.",REFUTES,1,0,0.0,0,0,0,0
,,,,,,,,,,,,,,,1.0,0,0,0,The Union Army had to reverse their march after they engaged with the Confederates and had their guns taken.,SUPPORTS,0,0,0.0,0,1,0,1
,,,,,,,,,,,,,,,0.0,0,1,1,The Battle of Salamis was lost by the Greeks.,REFUTES,1,1,1.0,1,0,1,0
,,,,,,,,,,,,,,,1.0,0,1,1,"The play, A Doll\'s House sets in a rural Czech village and the opening show was performed in Italy.",REFUTES,1,1,1.0,1,0,1,0
,,,,,,,,,,,,,,,1.0,0,0,1,Aram Khachaturian had Russian roots.,REFUTES,0,0,0.0,0,0,0,0
,,,,,,,,,,,,,,,1.0,0,1,1,The Crucible was written in the 1950s and is based on the witch trials.,SUPPORTS,1,1,1.0,1,1,1,1
,,,,,,,,,,,,,,,0.0,0,1,1,Thelonious Sphere Monk came to be well known for his creative tap dancing moves.,REFUTES,1,1,1.0,1,0,1,0
