Question,Answer,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,LLAMA,GPT4,DPR,Question,Answer,GPT3,RAG,MISTRAL,LLAMA3,LLAMA2_70B,LLAMA3_70B,CHATGPT
The fourth largest city in Germany was originally called what?,Colonia Claudia Ara Agrippinensium,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,The fourth largest city in Germany was originally called what?,Colonia Claudia Ara Agrippinensium,0,0,0,0.0,0.0,0,0
When did Nirvana's second most selling studio album come out?,"September 13, 1993",,0.0,,,0.0,,,,1.0,0.0,,,1.0,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,1.0,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,When did Nirvana's second most selling studio album come out?,"September 13, 1993",0,1,0,0.0,0.0,0,0
What was the job of the father of the founder of psychoanalysis?,wool merchant,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,0.0,,0.0,,,,,0.0,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,What was the job of the father of the founder of psychoanalysis?,wool merchant,1,1,0,0.0,0.0,0,1
How much protein in four boiled egg yolks?,10.8,,,,,0.0,0.0,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,,,,0.0,0.0,0.0,How much protein in four boiled egg yolks?,10.8,0,0,0,0.0,0.0,0,0
What is the political party of the American president who entered into the Paris agreement?,Democratic Party,,,,0.0,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,0.0,,,,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,,,1.0,0.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,0.0,1.0,,,,,,0.0,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,0.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,0.0,,1.0,0.0,,,,,1.0,,,,,1.0,,,,1.0,,,,,0.0,,,0.0,1.0,0.0,What is the political party of the American president who entered into the Paris agreement?,Democratic Party,0,1,1,1.0,1.0,1,1
The most populous city in Punjab is how large (area wise)?,310 square kilometers,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,0.0,0.0,0.0,The most populous city in Punjab is how large (area wise)?,310 square kilometers,0,0,0,0.0,0.0,0,0
What was the death toll of the second largest volcanic eruption in the 20th century?,847,,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,0.0,What was the death toll of the second largest volcanic eruption in the 20th century?,847,0,0,0,0.0,0.0,0,0
What was the death toll of the most intense Atlantic hurricane?,52,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,What was the death toll of the most intense Atlantic hurricane?,52,0,0,0,0.0,0.0,0,0
Who was the head of NASA during Apollo 11?,Thomas O. Paine,,0.0,,,0.0,,,0.0,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,1.0,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,0.0,1.0,0.0,Who was the head of NASA during Apollo 11?,Thomas O. Paine,0,1,0,0.0,0.0,1,0
Who is the father of the father of George Washington?,Lawrence Washington,,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,1.0,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,Who is the father of the father of George Washington?,Lawrence Washington,0,0,0,0.0,0.0,1,0
Who is the mother of the father of George Washington?,Mildred Warner,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,,,,1.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,,,0.0,,,,,0.0,0.0,0.0,Who is the mother of the father of George Washington?,Mildred Warner,0,0,0,0.0,0.0,0,0
Who is the father of the father of Barack Obama?,Hussein Onyango Obama,,0.0,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,1.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,,0.0,,,,1.0,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,1.0,0.0,Who is the father of the father of Barack Obama?,Hussein Onyango Obama,0,0,0,0.0,1.0,1,0
Who is the mother of the father of Barack Obama?,Habiba Akumu Nyanjango,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,1.0,,,,0.0,0.0,,0.0,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,0.0,0.0,Who is the mother of the father of Barack Obama?,Habiba Akumu Nyanjango,0,0,0,0.0,0.0,0,0
Who was mayor of New York City when Fiorello H. La Guardia was born?,William Russell Grace,,,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,0.0,,,,,,,0.0,,,0.0,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,Who was mayor of New York City when Fiorello H. La Guardia was born?,William Russell Grace,0,0,0,0.0,0.0,0,0
Who was president of the U.S. when superconductivity was discovered?,William Howard Taft,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,1.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,0.0,0.0,0.0,Who was president of the U.S. when superconductivity was discovered?,William Howard Taft,0,0,0,0.0,0.0,0,0
When was the person Russ Hanneman is based on born?,"July 31, 1958",,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,1.0,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,0.0,,0.0,0.0,0.0,When was the person Russ Hanneman is based on born?,"July 31, 1958",0,0,0,0.0,0.0,0,1
When was the first location of the world's largest coffeehouse chain opened?,"March 30, 1971",,,,,0.0,,,,,,,,1.0,,0.0,,,,,,1.0,,,,0.0,,0.0,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,1.0,0.0,0.0,When was the first location of the world's largest coffeehouse chain opened?,"March 30, 1971",0,1,0,0.0,0.0,0,0
Who directed the highest grossing film?,James Cameroon,,,,,,1.0,1.0,,,,,1.0,,,,1.0,,1.0,,,1.0,,0.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,0.0,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,0.0,1.0,,,,0.0,,,,,,,,1.0,,0.0,,,,1.0,,1.0,,0.0,,,,,,1.0,1.0,0.0,,,,,,,1.0,,,,,,,,1.0,,,,,0.0,0.0,,,,,,,1.0,0.0,1.0,1.0,0.0,Who directed the highest grossing film?,James Cameroon,1,1,1,1.0,1.0,1,1
When was the longest bridge in the world opened?,30 June 2011,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,1.0,,,,0.0,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,1.0,0.0,,,,1.0,,,,,,0.0,0.0,0.0,,,0.0,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,When was the longest bridge in the world opened?,30 June 2011,0,1,0,0.0,0.0,0,0
Which company was responsible for the largest pharmaceutical settlement?,GlaxoSmithKline,,,0.0,,,0.0,,0.0,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,0.0,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,,0.0,,,,,,1.0,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,,0.0,0.0,0.0,Which company was responsible for the largest pharmaceutical settlement?,GlaxoSmithKline,0,0,0,0.0,0.0,0,0
In what year was the tallest self-supporting tower completed?,2012,,,0.0,,,,,0.0,,,1.0,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,0.0,0.0,In what year was the tallest self-supporting tower completed?,2012,0,0,0,0.0,0.0,0,1
In what year was the tallest fixed steel structure completed?,1988,,,,0.0,,,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,0.0,,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,0.0,,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,0.0,0.0,In what year was the tallest fixed steel structure completed?,1988,0,0,0,0.0,0.0,0,0
In what year was the tallest lattice tower completed?,2012,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.0,,,,0.0,,,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,1.0,,0.0,0.0,0.0,In what year was the tallest lattice tower completed?,2012,0,0,0,0.0,0.0,0,1
In what year was the current tallest wooden lattice tower completed?,1935,,0.0,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,0.0,,,,,,0.0,0.0,0.0,In what year was the current tallest wooden lattice tower completed?,1935,0,0,0,0.0,0.0,0,0
In what country is the second tallest statue in the world?,China,,,0.0,0.0,,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,,0.0,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,1.0,,,,,,,0.0,,0.0,,,,,,,,,1.0,1.0,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,,,1.0,,,,,,0.0,,,0.0,,,,,,,,,,1.0,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,,1.0,,,,,,,,0.0,,1.0,,,,0.0,1.0,0.0,In what country is the second tallest statue in the world?,China,1,0,0,0.0,0.0,1,0
When was the tallest ferris wheel in the world completed?,2021,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,,1.0,,,1.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,,0.0,,,,0.0,0.0,0.0,When was the tallest ferris wheel in the world completed?,2021,0,0,0,0.0,0.0,0,0
In what year was the tallest lighthouse completed?,1902,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,0.0,1.0,,,0.0,,,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,1.0,0.0,,,,0.0,,,,,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,In what year was the tallest lighthouse completed?,1902,0,0,0,0.0,0.0,1,0
In what country is the world largest desalination plant?,Saudi Arabia,,,,0.0,,,,,,,,,0.0,1.0,,,,,,,,,,1.0,,0.0,,,0.0,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,1.0,,,,,,,,,,,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,1.0,,1.0,1.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,1.0,,,0.0,,,,,1.0,1.0,0.0,In what country is the world largest desalination plant?,Saudi Arabia,1,0,1,0.0,1.0,1,1
The most populous national capital city was established in what year?,1045 BC,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,0.0,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,,0.0,0.0,0.0,The most populous national capital city was established in what year?,1045 BC,0,0,0,0.0,0.0,0,1
The third largest river (by discharge) in the world is in what countries?,India and Bangladesh,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,0.0,0.0,The third largest river (by discharge) in the world is in what countries?,India and Bangladesh,0,0,0,0.0,0.0,0,0
What is the highest elevation (in meters) of the second largest island in the world?,"4,884 m",,0.0,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,1.0,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,What is the highest elevation (in meters) of the second largest island in the world?,"4,884 m",0,1,0,0.0,0.0,0,1
What is the length of the second deepest river in the world?,"6,300 km",,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,0.0,,,1.0,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,,0.0,0.0,0.0,What is the length of the second deepest river in the world?,"6,300 km",0,0,0,0.0,0.0,0,0
In what country is the third largest stadium in the world?,United States,,,,,1.0,,0.0,,,0.0,,,,,0.0,,,,,,,,,,0.0,1.0,,,,,,,,0.0,1.0,0.0,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,0.0,,,,,1.0,,,0.0,,,,1.0,,0.0,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,1.0,,,0.0,,,,,,,,0.0,0.0,,,,,,0.0,,,1.0,0.0,,,1.0,1.0,,,,,0.0,,,,0.0,,,,,,,0.0,,,0.0,0.0,0.0,In what country is the third largest stadium in the world?,United States,0,0,0,0.0,0.0,0,0
Who is the largest aircraft carrier in the world is named after?,Gerald R. Ford,,,,,,,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,,,,,1.0,0.0,,0.0,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,Who is the largest aircraft carrier in the world is named after?,Gerald R. Ford,0,1,0,0.0,1.0,1,1
In what year did the oldest cat ever recorded with the Cat of the Year award?,1999,,0.0,,,,,,,,0.0,,,0.0,,0.0,,,,,0.0,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,1.0,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,0.0,0.0,0.0,In what year did the oldest cat ever recorded with the Cat of the Year award?,1999,0,0,0,0.0,0.0,0,0
In what year was the country that is the third largest exporter of coffee founded?,1810,,,0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,,0.0,0.0,0.0,In what year was the country that is the third largest exporter of coffee founded?,1810,0,0,0,0.0,0.0,0,0
Who was the commander for the space mission that had the first spacewalk?,Pavel Belyayev,,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,,0.0,,,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,Who was the commander for the space mission that had the first spacewalk?,Pavel Belyayev,0,0,0,0.0,0.0,1,0
Who is the predecessor of the longest-reigning British monarch?,"George VI
",,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,1.0,,,0.0,,,,,,,,,1.0,,,,1.0,,,1.0,,,1.0,,,,0.0,0.0,0.0,,,0.0,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,0.0,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,,0.0,,1.0,,,,,1.0,,,,0.0,,,,,,,0.0,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,0.0,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,0.0,0.0,0.0,Who is the predecessor of the longest-reigning British monarch?,"George VI
",0,0,0,0.0,0.0,1,0
"In 2016, who was the host of the longest running talk show?",Jimmy Fallon,,,,,,,0.0,,,,,0.0,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,0.0,1.0,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,1.0,0.0,,,,,,0.0,0.0,,1.0,,,,,,,,,,0.0,,,,,,1.0,,,0.0,,0.0,,,,,0.0,0.0,0.0,"In 2016, who was the host of the longest running talk show?",Jimmy Fallon,0,1,1,1.0,0.0,0,0
