question,a,b,c,A,B,C,D,E,DPR,LLAMA,GPT4,Question,Answer,GPT3,RAG,MISTRAL,LLAMA3
"Bayer was the first company to combine what organic material with the contents of its Asprin bottles, which functions both as a dessecant and to prevent pills from breaking?",0.0,1.0,0.0,,,,,,0.0,0.0,0.0,"Bayer was the first company to combine what organic material with the contents of its Asprin bottles, which functions both as a dessecant and to prevent pills from breaking?",cotton balls (or rayon),0,0.0,0.0,0.0
"In his memoirs, François Adrien Henri Dieudonné Thiébault described what man being attacked by a swarm of bunnies after a celibration of the Treaty of Tilsit?",0.0,0.0,0.0,,,,,,0.0,0.0,0.0,"In his memoirs, François Adrien Henri Dieudonné Thiébault described what man being attacked by a swarm of bunnies after a celibration of the Treaty of Tilsit?",Napoleon,1,0.0,0.0,1.0
What country ceased to be the largest nation on its continent in 2011?,0.0,1.0,0.0,,,,,,0.0,1.0,1.0,What country ceased to be the largest nation on its continent in 2011?,Sudan,0,1.0,0.0,0.0
What pair who own 2000 bitcoin are portrayed as antagonists in the Social Network?,0.0,0.0,0.0,,,,,,0.0,1.0,1.0,What pair who own 2000 bitcoin are portrayed as antagonists in the Social Network?,Winklevoss twins,1,1.0,0.0,0.0
"What 2022 film, the English-language debut of a Swedish director, featured the final appearance of a South African actress who died of sepsis?",0.0,1.0,0.0,,,,,,0.0,0.0,0.0,"What 2022 film, the English-language debut of a Swedish director, featured the final appearance of a South African actress who died of sepsis?",Triangle of Sadness,0,0.0,0.0,1.0
"What company named itself after a British monarch and claimed to be headquartered at 10 Margaret Street, London despite being an American company headquartered in Ohio?",0.0,0.0,0.0,,,,,,0.0,0.0,1.0,"What company named itself after a British monarch and claimed to be headquartered at 10 Margaret Street, London despite being an American company headquartered in Ohio?",Victoria's Secret,0,0.0,,0.0
"What substance, first isolated in 1845, inspired Hoffman to give a smelly name to its derivatives in an 1856 publication?",0.0,1.0,0.0,,,,,,0.0,0.0,1.0,"What substance, first isolated in 1845, inspired Hoffman to give a smelly name to its derivatives in an 1856 publication?",benzene,0,0.0,0.0,0.0
The Kayan of Myanmar and the Southern Ndebele of South Africa both use what form of decoration?,0.0,0.0,0.0,,,,,,0.0,0.0,1.0,The Kayan of Myanmar and the Southern Ndebele of South Africa both use what form of decoration?,Neck Ring,0,1.0,0.0,0.0
What 1830s conflict between the province that was the birthplace of Donald Sutherland on one side and the state that is the birthplace of Stephen King had a bear as its lone casualty?,0.0,1.0,0.0,,,,,,0.0,0.0,1.0,What 1830s conflict between the province that was the birthplace of Donald Sutherland on one side and the state that is the birthplace of Stephen King had a bear as its lone casualty?,"Aroostook War (sometimes called the Pork and Beans War[1]), or the Madawaska War",1,1.0,0.0,1.0
"What 1967 short story, later adapted into a 1988 film, was described as a double-suicide by its author and whose native language title combines characters for ""fire"" (火) and ""drop"" (垂)?",0.0,0.0,1.0,,,,,,0.0,0.0,1.0,"What 1967 short story, later adapted into a 1988 film, was described as a double-suicide by its author and whose native language title combines characters for ""fire"" (火) and ""drop"" (垂)?",Grave of the Fireflies (Hotaru no Haka),0,0.0,0.0,0.0
In what year was the purchase of potent potables precluded by a passed repair to the primary law of the United States?,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,In what year was the purchase of potent potables precluded by a passed repair to the primary law of the United States?,1920,0,0.0,0.0,0.0
"If it's 11pm on New Year's Even in Kabul, what is the most populous country celebrating the start of a New Year?",0.0,0.0,0.0,,,,,,0.0,0.0,1.0,"If it's 11pm on New Year's Even in Kabul, what is the most populous country celebrating the start of a New Year?","India (Afghanistan is +4:30UTC, India is +5:30)",0,0.0,0.0,0.0
"In 1804, what deaf man scratched out the name of a French general born in Corsica?",0.0,1.0,0.0,,,,,,0.0,0.0,1.0,"In 1804, what deaf man scratched out the name of a French general born in Corsica?",Beethoven,0,0.0,0.0,0.0
"What actress who appeared in in the 2015 installment of the Fast & Furious films got permission from a man who had a recurring role in ""It's Always Sunny in Philadelphia"" to borrow his nickname (and who also died in the same year, 2015)?",0.0,0.0,1.0,,,,,,0.0,0.0,1.0,"What actress who appeared in in the 2015 installment of the Fast & Furious films got permission from a man who had a recurring role in ""It's Always Sunny in Philadelphia"" to borrow his nickname (and who also died in the same year, 2015)?",Ronda Rousey,0,0.0,0.0,0.0
What modern day country was The man who served in between Boutros and Ban from?,0.0,1.0,0.0,,,,,,0.0,0.0,1.0,What modern day country was The man who served in between Boutros and Ban from?,Ghana,0,0.0,0.0,0.0
"Who is the president of the country represented by the second letter in the acronym BRICS, which refers to countries with emerging economies?",0.0,0.0,1.0,,,,,,0.0,0.0,0.0,"Who is the president of the country represented by the second letter in the acronym BRICS, which refers to countries with emerging economies?",Vladimir Putin,0,0.0,0.0,0.0
Clarence Thomas had to deny calling himself a vulgar pun on what name?,0.0,1.0,0.0,,,,,,0.0,0.0,0.0,Clarence Thomas had to deny calling himself a vulgar pun on what name?,Long John Silver,0,0.0,0.0,0.0
What city in England is home to the studios where the British game show that resembles quiz bowl is filmed and where the test of whether an AI is intelligent was proposed?,0.0,0.0,0.0,,,,,,0.0,0.0,1.0,What city in England is home to the studios where the British game show that resembles quiz bowl is filmed and where the test of whether an AI is intelligent was proposed?,Manchester,0,0.0,0.0,0.0
At what thermometer reading would Canadians and Americans have no disagreement about where it's colder?,0.0,1.0,0.0,,,,,,0.0,0.0,1.0,At what thermometer reading would Canadians and Americans have no disagreement about where it's colder?,-40,1,1.0,1.0,1.0
The prime gap is the difference between successive prime numbers. What primes are in the set of prime gaps?,0.0,0.0,1.0,,,,,,0.0,0.0,1.0,The prime gap is the difference between successive prime numbers,2,0,1.0,0.0,0.0
What team lost the world cup finals in their home stadium but went on to defeat another country in their home stadium and win their first world cup eight years later?,0.0,0.0,0.0,,,,,,0.0,1.0,1.0,What team lost the world cup finals in their home stadium but went on to defeat another country in their home stadium and win their first world cup eight years later?,"Brazil (defeated by Uraguay in 1950, beat Sweden in 1958)",0,1.0,0.0,0.0
"Conrade Meit, Hans Baldung Grien, Sebald Beham, Donatello, and Artemesia Gentileschi all depicted a woman holding what?",0.0,0.0,1.0,,,,,,0.0,0.0,0.0,"Conrade Meit, Hans Baldung Grien, Sebald Beham, Donatello, and Artemesia Gentileschi all depicted a woman holding what?",Head of Holofernes,0,0.0,0.0,0.0
In what novel published a quarter century after the title does the son of a telephone fee collector whose earliest memory is his mother having an affair write a novel dictated by a dyslexic teenager that exposes the magical foundation of a cult whose paralysis-prone leader is killed by an assassin whose name means green peas?,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,In what novel published a quarter century after the title does the son of a telephone fee collector whose earliest memory is his mother having an affair write a novel dictated by a dyslexic teenager that exposes the magical foundation of a cult whose paralysis-prone leader is killed by an assassin whose name means green peas?,1Q84 - Hachi-Yon,0,0.0,0.0,0.0
"Mike Bribiglia appears as a mourner at a funeral in the music video for what song that muses that the central character is ""laughing up at us from hell""; the song also contrasts the central character with a ""monster on the hill"" in contrast to everyone else being a ""sexy baby"", a possible 30 Rock reference.",0.0,0.0,0.0,,,,,,0.0,0.0,0.0,"Mike Bribiglia appears as a mourner at a funeral in the music video for what song that muses that the central character is ""laughing up at us from hell""; the song also contrasts the central character with a ""monster on the hill"" in contrast to everyone else being a ""sexy baby"", a possible 30 Rock reference",Anti-Hero,0,0.0,0.0,0.0
What country has one more FIFA World Cup title than Germany and Italy and four more than England and Spain?,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,What country has one more FIFA World Cup title than Germany and Italy and four more than England and Spain?,Brazil,1,1.0,1.0,0.0
What color did Real Madrid wear during the 2017 Champions League final?,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,What color did Real Madrid wear during the 2017 Champions League final?,Purple,0,0.0,0.0,0.0
What film shares a setting with a musical based on the perspective of two witches named after cardinal directions?,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,What film shares a setting with a musical based on the perspective of two witches named after cardinal directions?,The Wizard of Oz,0,1.0,0.0,0.0
"In which U.S state, in February of 2023, did Ryan Crouser throw further than the world record by a centimeter, but it was not counted because the indoor shot-put ring was too large, and the landing area was too downhill from the ring?",,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,In which U,Idaho,0,0.0,0.0,0.0
"Who threw the football during the ""Mile High Miracle""?",,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Who threw the football during the ""Mile High Miracle""?",Joe Flacco,1,1.0,0.0,0.0
What country is home to one of the oldest cities in the world whose Arabic name is based on the trilateral root JBL and borders a sea known as ‚ÄúThe Middle‚Äù in Arabic?,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,What country is home to one of the oldest cities in the world whose Arabic name is based on the trilateral root JBL and borders a sea known as ‚ÄúThe Middle‚Äù in Arabic?,Lebanon,1,1.0,0.0,0.0
Who was able to turn men into stone sculptures by just taking a glance at them?,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,Who was able to turn men into stone sculptures by just taking a glance at them?,Medusa,0,1.0,1.0,1.0
Which of the first Adidas Yeezy Boost 350 designs had an out of this world themed name?,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Which of the first Adidas Yeezy Boost 350 designs had an out of this world themed name?,Moonrock,0,1.0,0.0,1.0
What 1987 hit song contains a line that rhymes with ketchup?,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,What 1987 hit song contains a line that rhymes with ketchup?,Never Gonna Give You Up,0,1.0,0.0,0.0
"What is a fourth of the 5th Bell number, often seen as an unlucky number?",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"What is a fourth of the 5th Bell number, often seen as an unlucky number?",13/Thirteen,0,0.0,0.0,0.0
"In how many states do either of the two longest main-stem rivers in the United States, one of which served as one of the main routes of westward expansion and one as a dividing line between different regions, pass through?",,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"In how many states do either of the two longest main-stem rivers in the United States, one of which served as one of the main routes of westward expansion and one as a dividing line between different regions, pass through?",15,0,0.0,0.0,0.0
What would be the Bic Macs burger to bun ratio if we doubled meat?,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,What would be the Bic Macs burger to bun ratio if we doubled meat?,4:03,0,0.0,0.0,0.0
What novelist was one of the original authors of a famous sword and sorcery hero before writing his own book series based on the philosophical idea of eternal recurrence?,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,What novelist was one of the original authors of a famous sword and sorcery hero before writing his own book series based on the philosophical idea of eternal recurrence?,Robert Jordan,1,0.0,0.0,0.0
What fruit commonly used in sandwiches and salads is red?,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,What fruit commonly used in sandwiches and salads is red?,Tomato,0,1.0,1.0,1.0
"What substance can cause burns in its gaseous form, lead to vomiting and sweating in high doses, and is the main component by weight in acid rain?",,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"What substance can cause burns in its gaseous form, lead to vomiting and sweating in high doses, and is the main component by weight in acid rain?",Water,0,0.0,0.0,0.0
This brand's logo shares a name that a video game character that wears a red hat and blue overalls used to have. What is this brand?,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,This brand's logo shares a name that a video game character that wears a red hat and blue overalls used to have,Air Jordan,0,0.0,0.0,0.0
What famous art piece that is currently in France is referred to as La Giaconda?,,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,What famous art piece that is currently in France is referred to as La Giaconda?,Mona Lisa,1,1.0,1.0,1.0
What is the name of the cricket team that is owned by the founder of Poomaalai and is considered to have one of the best bowling sides?,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,What is the name of the cricket team that is owned by the founder of Poomaalai and is considered to have one of the best bowling sides?,Sunrisers Hyderabad,0,0.0,0.0,0.0
What book does Liesel read in a novel from 2005 that has a title which is similar to the Sandman's job?,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,What book does Liesel read in a novel from 2005 that has a title which is similar to the Sandman's job?,The Dream Carrier,1,0.0,0.0,0.0
"What is the name of a famous surrealist painting which originally was thought to be inspired by a scientific theory about space-time but was in fact inspired by a soft, surface-ripened, brie-like cheese melting in the sun?",,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,"What is the name of a famous surrealist painting which originally was thought to be inspired by a scientific theory about space-time but was in fact inspired by a soft, surface-ripened, brie-like cheese melting in the sun?",The Persistence of Memory,0,1.0,1.0,1.0
"What is the name of the American actor who stood up for his wife with a ""slap that was heard around the world"" during a popular awards show?",,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,"What is the name of the American actor who stood up for his wife with a ""slap that was heard around the world"" during a popular awards show?",Will Smith,0,1.0,0.0,0.0
In what year did the United States ban a liquid for its detrimental effects on the organ located in the upper right-hand portion of the abdominal cavity?,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,In what year did the United States ban a liquid for its detrimental effects on the organ located in the upper right-hand portion of the abdominal cavity?,1919,1,0.0,0.0,0.0
"What is the name of the language which only has 45,900 speakers, allows for word-initial double consonants, and is the official language of an island country with the world's second-largest regional shark sanctuary?",,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"What is the name of the language which only has 45,900 speakers, allows for word-initial double consonants, and is the official language of an island country with the world's second-largest regional shark sanctuary?",Chuukese,0,0.0,0.0,0.0
Which movie features a feathery animal that travels back in time to save its own species from doomsday that has been celebrated every year?,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Which movie features a feathery animal that travels back in time to save its own species from doomsday that has been celebrated every year?,Free Birds,0,0.0,0.0,0.0
What year is the closest palindromic year to 2001?,,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,What year is the closest palindromic year to 2001?,2002,0,1.0,0.0,0.0
"The easternmost state in the U.S. has more than triple its population in lakes and it is known to have good salmon, which state is it?",,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,The easternmost state in the U,Alaska,0,0.0,0.0,0.0
The basic document of the French Revolution was originally drafted by the Marquis de Lafayette. Which document was it?,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,The basic document of the French Revolution was originally drafted by the Marquis de Lafayette,The Declaration of the Rights of Man and the Citizen,0,0.0,1.0,0.0
"Which French historic monument, sold to Cardinal Mazarin, was the Louisiana purchase signed in?",,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Which French historic monument, sold to Cardinal Mazarin, was the Louisiana purchase signed in?",Hôtel Tubeuf or Hôtel Duret-de-Chevry,0,1.0,0.0,0.0
This actress had a role in a film where her grandmother shares a strong resemblance to Mrs. Robinson and also had a role in 'Friends.',,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,This actress had a role in a film where her grandmother shares a strong resemblance to Mrs,Jennifer Aniston,1,0.0,1.0,0.0
Name an author that is usually referred to as 'the liu God' by his Chinese fan and was used as memes from his quote 'God doesn't care' in his most famous novel.,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,Name an author that is usually referred to as 'the liu God' by his Chinese fan and was used as memes from his quote 'God doesn't care' in his most famous novel,Liu CiXin,0,1.0,1.0,0.0
Name the color of the sky in Aivazovsky's 'The Ninth Wave',,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Name the color of the sky in Aivazovsky's 'The Ninth Wave',Orange,1,0.0,0.0,0.0
Which electronic musician from the UK is known for his unorthodox stage name that references a character in sitcom television?,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Which electronic musician from the UK is known for his unorthodox stage name that references a character in sitcom television?,Ross from Friends,0,0.0,0.0,0.0
"What is the title of the 2003 best-selling book that delves into the lives of two young boys in Afghanistan, exploring themes of friendship, betrayal, and redemption against the backdrop of political turmoil?",,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,"What is the title of the 2003 best-selling book that delves into the lives of two young boys in Afghanistan, exploring themes of friendship, betrayal, and redemption against the backdrop of political turmoil?",The Kite Runner,0,1.0,1.0,1.0
"If I will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers, what will you know that my name is when I lay my vengeance upon thee?",,,,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,"If I will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers, what will you know that my name is when I lay my vengeance upon thee?",The Lord,0,0.0,0.0,0.0
"Name the Kentucky quarterback that against all predictions, was not drafted in the first round of the 2023 NFL draft.",,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Name the Kentucky quarterback that against all predictions, was not drafted in the first round of the 2023 NFL draft",Will Levis,1,1.0,0.0,1.0
Which fashion creative director once worked closely with the designer Christian Dior before starting his own brand known widely by its acronym?,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,Which fashion creative director once worked closely with the designer Christian Dior before starting his own brand known widely by its acronym?,Yves Saint Laurent,0,0.0,0.0,0.0
Who is known as the black mamba in the nba tournament,,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,Who is known as the black mamba in the nba tournament,Kobe Bryant,0,1.0,0.0,0.0
Which river is China's mother river?,,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Which river is China's mother river?,Yellow River,0,1.0,0.0,0.0
Which artist's 'red' album went into production after receiving backlash for a televised interaction with a country pop star during the VMAs?,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Which artist's 'red' album went into production after receiving backlash for a televised interaction with a country pop star during the VMAs?,Kanye West,1,0.0,0.0,0.0
One of this video game's most recent events included a month-long social media takeover by musical artist Lil Nas X. This video game is developed and managed by a company whose parent company is one of the largest Chinese multinational companies. This game directly takes inspiration from one of the most popular Warcraft III MOBA mods.,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,One of this video game's most recent events included a month-long social media takeover by musical artist Lil Nas X,League of Legends,1,0.0,0.0,0.0
"This person is a member of South Korea's largest boy band by size. He was a host for a popular program titled Show Champion, and is currently a member of his band's newest sub-unit which consists of three members.",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,This person is a member of South Korea's largest boy band by size,Jaehyun,0,0.0,0.0,0.0
"This genus spans from shrubs to small trees, varying between evergreen and deciduous. It is the national flower of a nation with a flag that does not abide by the regular shape of a rectangle.",,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"This genus spans from shrubs to small trees, varying between evergreen and deciduous",Rhododendron,1,1.0,0.0,0.0
This city was the first capital of the American state that was admitted to the union 29 years after the first admitted state. The first man to break the 51 second barrier for the 100m butterfly was born in this city. This city also shares the same name as the largest city of the state that contains Crater Lake National Park. What is this city that has a name that contains a word that can be used to describe wine and resides in the easternmost United States state that borders Canada?,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,This city was the first capital of the American state that was admitted to the union 29 years after the first admitted state,Portland Maine,0,0.0,0.0,1.0
"This country's name consists of two words, and the second word's first syllable sounds like the Spanish word meaning ""low"" and its second syllable sounds like the Spanish word meaning ""more"". Historically, this country became known as a safe place for African slaves to reside in during the late 19th century. Tourism is an important part of its economy, perhaps due to its key location below Florida.",,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"This country's name consists of two words, and the second word's first syllable sounds like the Spanish word meaning ""low"" and its second syllable sounds like the Spanish word meaning ""more""",The Bahamas,0,0.0,0.0,1.0
The second king of the Neo-Babylonian empire was the namesake of the ship in this movie. This movie’s content is often associated with the Allegory of the Cave. The main character in this movie also played Ted in Bill and Ted’s Excellent Adventure. The name of this movie is a main topic of linear algebra.,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,The second king of the Neo-Babylonian empire was the namesake of the ship in this movie,The Matrix,1,0.0,1.0,0.0
"The title of this book shares a word with the title of a song of which the author, who acted in the 2002 film, 8 Mile, addressed to his daughter and niece. This book was one of two books that this author wrote, the other was published after, but was written before this book even though the events were set two decades later. This book was originally named after the iconic righteous legal practitioner in this book, but it was later retitled based on a quote from that same character.",,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"The title of this book shares a word with the title of a song of which the author, who acted in the 2002 film, 8 Mile, addressed to his daughter and niece",To Kill a Mockingbird,0,0.0,0.0,0.0
"In this sport, playing the game nine targets is banned in almost every U.S state. This sport's scoring system involves addition and multiplication. In this sport, one is called a strike, two is called a double, and three is a symbol of thanks. What is this sport?",,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"In this sport, playing the game nine targets is banned in almost every U",Bowling,0,0.0,1.0,1.0
He's a criminal but he's not heartless because he seems to care a lot about whether Annie is okay. But he's not just any kind of criminal: he's very smooth. Who is this famous music artist?,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,He's a criminal but he's not heartless because he seems to care a lot about whether Annie is okay,Michael Jackson,0,0.0,0.0,0.0
"This disney star had a show named after the state whose capital is Helena. This singer's most recent hit was a song about the brother of Chris Hemsworth. Liam Hemsworth, who is famously known for playing Josh Taylor, married which Disney star?",,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,This disney star had a show named after the state whose capital is Helena,Miley Cyrus,0,1.0,1.0,1.0
This country employs cats to protect artifacts at a museum that is free of charge the third Thursday of every month. This modern country had the engineer who created the famous game which involves rotating blocks. What country is most recognizable for an alcoholic drink created by Poland?,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,This country employs cats to protect artifacts at a museum that is free of charge the third Thursday of every month,Russia,0,0.0,0.0,0.0
"This inhumane king was a key main character in a famous Classic Chinese novel. Deemed a king by his subordinates, this character enjoys consuming fruit, especially peaches. What is the name of the character who traveled with two monks, a horse, and a pig?",,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,This inhumane king was a key main character in a famous Classic Chinese novel,Sun Wukong,1,0.0,0.0,0.0
"This element is always found within other minerals, never on its own. This element is known to be toxic to nature's plants and animals. The density of this element is very close to the density of a precious metal commonly found in jewelry. The majority of this element is stored in the country whose national sport is ping-pong. What is the name of the element with the highest melting point?",,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"This element is always found within other minerals, never on its own",Tungsten,0,0.0,0.0,1.0
"For more than a decade, this movie was never officially released in the US or Canada except for the purpose of film festivals due to its 'crude' nature. In this movie, the government, in order to control the unemployed youth, votes on a law, which states that every year, students from a randomly chosen class will be transferred to a secluded island where they will have to fight to the last person standing. Name the novel this movie was based on.",,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"For more than a decade, this movie was never officially released in the US or Canada except for the purpose of film festivals due to its 'crude' nature",Battle Royale,1,0.0,0.0,1.0
"There existed a diplomat from Vietnam. Although he was lauded for his scientific achievements, he was a strong believer in eastern philosophy - he was a pioneer in chemical carcinogenesis where it involved the fundamental ring systems and derivatives of 1,2-benzanthracene, the dibenzopyrenes, steranthrenes, anthanthrene, 1,2,3,4-dibenzanthracene, a variety of benzo and dibenzofluoranthenes. He was also a secular buddhist who became an elected president with thousands of workers stranded in France in the 1950s. He also travelled to the United States and also to Cambodia, to meet the pope of Cao Đài and his entourage in Cambodia. Who is this man?",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,There existed a diplomat from Vietnam,Bửu Hội,1,0.0,0.0,0.0
"This film has been entirely composed, directed and produced by a single person, for the most part. In this film, it stars a Filipino driver who is fascinated by space travel. Using elements of repetition and flashbacks, as well as covering controversial topics such as circumcision, this Filipino man finds solace in thinking that success is achievable in the United States. Upon reaching here, he realises that success is found “within”. What film is this?",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"This film has been entirely composed, directed and produced by a single person, for the most part",perfumed nightmare,1,0.0,0.0,0.0
"The actors in this movie and this movie received multiple oscar awards this year. They received awards for best picture, best director, best original score, best actress, best original screenplay and more. The lead female actor is originally from Malaysia. She also acted in another movie where she played the role of the mother for the lead male actor and acted together with Constance Wu and awkwafina. Who is this female actor?",,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,The actors in this movie and this movie received multiple oscar awards this year,Michelle Yeoh,0,0.0,0.0,0.0
"This person was a Dutch golden age painter, born in 1606 at a city in the province of south holland. He is known for many of his artworks, where one of his artwork was attacked with a common kitchen tool that is used for bread in the year 1975, and in 1990 another person sprayed a liquid that is low the pH scale on this painting. Which is the painting that is being referred to here?",,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"This person was a Dutch golden age painter, born in 1606 at a city in the province of south holland",The Night Watch,0,0.0,0.0,1.0
"This singer is a Japanese artist who initially debuted in 2018 as an independent artist. The first original song released is named after the type of small Solar System body composed of ice and dust, which releases gasses as it orbits the Sun. The following year after their debut, the artist signed a contract with INoNaKa Music. Her first single release was under Cover Corp. in 2020. Her first album was released in Fall of 2021 and featured her newest song, ""Stellar Stellar."" Who is this artist that became the first Virtual Youtuber to appear on The First Take?",,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,This singer is a Japanese artist who initially debuted in 2018 as an independent artist,Hoshimachi Suisei,0,0.0,0.0,0.0
"When taking the first, second, and third derivative of this term, these terms will share the same name of the gnomes that appear on a brand of cereal marketed by Kellogs. The clothoid curvature results in this term being constant. When taking the integral of this term, the value of this term becomes 9.8 for an object that falls through a vacuum. Name this term that is used to describe objects in motion.",,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"When taking the first, second, and third derivative of this term, these terms will share the same name of the gnomes that appear on a brand of cereal marketed by Kellogs",Jerk,1,0.0,0.0,0.0
"This film falls under the category of comedy. The film is animated, and revolves around the childhood of the main character from the series films. The series of films revolves around the main character’s desire to become a supervillain. The release of the movie sparked the internet phenomenon where teenagers who went to watch the film wore suits. One of the companions of the protagonist is “Bob,” who is small, yellow, has two eyes, and often wears overalls. What is the name of this film where the protagonist, who is portrayed as a child, tries to become the greatest supervillain with his minions?",,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,This film falls under the category of comedy,Minions: The Rise of Gru,0,0.0,0.0,0.0
"Which specific city serves as the location for the recurring yearly observance of a sacred ceremonial occasion that extends for an approximate duration of twelve consecutive calendar days encompassing two months and is further characterized by its nomenclature being linked to a site of religious reverence focusing on the dentition-related anatomical attribute? Additionally, delving into antiquity, it is known that an esteemed historical artifact, presumed to have been in possession of the venerated spiritual popular in East Asia, was conveyed from the geographical region of India to the nation-state wherein this aforementioned metropolis is situated. While this particular observance has persisted as an enduring custom throughout history, it was officially institutionalized as a communal event during the governance of a noteworthy sovereign ruler in the 18th century.",,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Which specific city serves as the location for the recurring yearly observance of a sacred ceremonial occasion that extends for an approximate duration of twelve consecutive calendar days encompassing two months and is further characterized by its nomenclature being linked to a site of religious reverence focusing on the dentition-related anatomical attribute? Additionally, delving into antiquity, it is known that an esteemed historical artifact, presumed to have been in possession of the venerated spiritual popular in East Asia, was conveyed from the geographical region of India to the nation-state wherein this aforementioned metropolis is situated","Kandy, Sri Lanka",0,0.0,0.0,0.0
"What early 90s film focuses on how a widower in Chicago moves on after his spouse passes away? His child attempts to assist him by meddling. Through the use of radio and compelling storytelling, the child draws in a large audience, especially many women. This film ends on the observation deck of a very famous building in a city coined the 'Big Apple.'",,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,What early 90s film focuses on how a widower in Chicago moves on after his spouse passes away? His child attempts to assist him by meddling,Sleepless in Seattle,0,0.0,0.0,0.0
